ObjectType,ObjectName,Description,Utilization,ParametersJson,OutputNotes,ReferencedObjectsJson,IRI,CodeColumn,Code,AccessBitmap
Column,DimEvents.SourceID,"Database Column named DimEvents.SourceID. SourceID enables us to create events in a ""namespace"". This is so if different DWs or other sources have the same event with different meanings.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,EventsFact.AccessBitmap,"Database Column named EventsFact.AccessBitmap. At import, the event should inherit from a sum of Case and DimEvent AccessBitmap. This ensures we're secured at the lowest granularity.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,EventsFact.AggregationTypeID,"Database Column named EventsFact.AggregationTypeID. The event might be an aggregation of smaller events compressed through a Streaming analytics port. If it is, information of the aggregation should be in the EventProperties.AggregationProperties field as a JSON.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,EventsFact.BatchID,"Database Column named EventsFact.BatchID. An ID that could be used to delete events, eventproperties, case, case properties. See Delete_Batch sproc.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,EventsFact.CaseID,Database Column named EventsFact.CaseID. Even a long-running case should have an ID. That would be like a feed from an IoT device that goes on indefinitely.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,CaseProperties.TargetProperties,Database Column named CaseProperties.TargetProperties. Properties related to what we targeted for the case.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,EventsFact.CaseOrdinal,Database Column named EventsFact.CaseOrdinal. Order of the event within the case.,,,,,,,,
,,,,,,,,,,
"The order is already defined by EventDate, but without ordinal, it's hard to easily fetch the n-x or n+x, first row. ",,,,,,,,,,
,,,,,,,,,,
This should be calculated for each case in the ETL using RANK.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,,
Column,EventsFact.Event,"Database Column named EventsFact.Event. There should always be an event, but it doesn't need to be in the events table. It's a case of allow an event that's not in the events table and deal with it later.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,EventsFact.ParentCaseID,Database Column named EventsFact.ParentCaseID. This is used to connect sub-processes to a parent case.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,AggregationTypes.IsNative,"Database Column named AggregationTypes.IsNative. 0=Aggregation is custom,  some ETL package.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,AggregationTypes.Metadata,"Database Column named AggregationTypes.Metadata. This is a json of metadata regarding the aggregation. It can include things such as the ETL package, function, or program that created it, and required parameters.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,DimObservers.Code,Database Column named DimObservers.Code. Code of the observer (generator of events).,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,DimObservers.Parent_ObserverID,"Database Column named DimObservers.Parent_ObserverID. Observers are the devices (IoT, AI agents, cars, phones), and each can consist of a hierarchy of event emitters.",,,,,,,,
,,,,,,,,,,
Note that Observers differ from Sources in that a Source is where case and event properties can be looked up.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,,
Column,DimObservers.SourceID,Database Column named DimObservers.SourceID. The storage place of event generated by the observer. This is where the Events Ensemble reads the events. ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,ImportEvents.AccessBitmap,Database Column named ImportEvents.AccessBitmap. Default of -1 means all bits are set.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,ImportEvents.CaseID,"Database Column named ImportEvents.CaseID. Really, the naturalkey of the case. it will be imported as Case.NaturalKey.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,ImportEvents.CaseProperties,"Database Column named ImportEvents.CaseProperties. This is a flattened table, so all CaseProperties for a CaseID should be the same.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,ImportEvents.CaseTargetProperties,"Database Column named ImportEvents.CaseTargetProperties. This is a flattened table, so all CaseTargetProperties for a CaseID should be the same.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,ImportEvents.CaseType,"Database Column named ImportEvents.CaseType. Should be the same as CaseTypes.[Name], which is the ""code"" for case types.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,ImportEvents.SourceID,Database Column named ImportEvents.SourceID. Could be JSON of parts comprising the natural key.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,Models.ModelType,Database Column named Models.ModelType. 1. BayesianProbability - Conditional probability,,,,,,,,
,,,,,,,,,,
2. MarkovChain - Created from event sets and event facts.,,,,,,,,,,
,,,,,,,,,,
"3. Workflow - This is an intended process. It may not even have events. Workflows could be made concrete from Markov Models. Workflows could also be decision trees, strategy maps.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,,
Column,Models.Order,"Database Column named Models.Order. A ""proper"" Markov model is first order (1), which means the next event depends on only the current event. That's the default. We can also specify 2nd and 3rd order models, meaning the next event depends on the n-1 and n event (2nd order), or n-2, n-1, and n event for 3rd order.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,Models.ParamHash,Database Column named Models.ParamHash. This is a hash of the model-level parameters. This mostly helps to link Model events that are bayesian probabilities with markov models. This helps enable hidden markov model so we can link an event from a markov model to an event from a bayesian pair (specifically Event A).,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,Models.transformskey,Database Column named Models.transformskey. The hash key to the transforms table. it is a set of key-value pairs converting an event to another.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,ModelEvents.CoefVar,"Database Column named ModelEvents.CoefVar. Coefficient of Variance - Statistical measure that represents the ratio of the standard deviation to the mean of a dataset, expressed as a percentage.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
