from_object,from_output_column,input_object,parameter
dbo.AddEventToCaseProperties,CaseID,dbo.DeleteCase,@CaseID
dbo.AddEventToCaseProperties,CaseID,dbo.InsertCase,@CaseID
dbo.AddEventToCaseProperties,CaseID,dbo.InsertCaseProperties,@CaseID
dbo.AddEventToCaseProperties,CaseID,dbo.UpdateCaseFromEvents,@CaseID
dbo.AdjacencyMatrix,EventA,dbo.ModelDrillThrough,@EventA
dbo.AdjacencyMatrix,EventA,dbo.SegmentComparison,@EventA
dbo.AdjacencyMatrix,EventA,dbo.sp_ModelDrillThrough,@EventA
dbo.AdjacencyMatrix,EventB,dbo.ModelDrillThrough,@EventB
dbo.AdjacencyMatrix,EventB,dbo.SegmentComparison,@EventB
dbo.AdjacencyMatrix,EventB,dbo.sp_ModelDrillThrough,@EventB
dbo.BayesianProbability2,SessionID,dbo.sp_AdjacencyMatrix,@SessionID
dbo.BayesianRelationships_Full,GroupType,dbo.BayesianProbability,@GroupType
dbo.BayesianRelationships_Full,GroupType,dbo.BayesianProbability2,@GroupType
dbo.BayesianRelationships_Full,GroupType,dbo.ConditionalProbabilityTable,@GroupType
dbo.BayesianRelationships_Full,GroupType,dbo.CreateUpdateBayesianProbabilities,@GroupType
dbo.BayesianRelationships_Full,GroupType,dbo.sp_ConditionalProbabilityTable,@GroupType
dbo.BayesianRelationships_Full,Metric,dbo.AddEventToCaseProperties,@Metric
dbo.BayesianRelationships_Full,Metric,dbo.CreateUpdateMarkovProcess,@metric
dbo.BayesianRelationships_Full,Metric,dbo.DefaultModelParameters,@metric
dbo.BayesianRelationships_Full,Metric,dbo.EntryAndExitPoints,@metric
dbo.BayesianRelationships_Full,Metric,dbo.InsertModel,@metric
dbo.BayesianRelationships_Full,Metric,dbo.MarkovProcess,@metric
dbo.BayesianRelationships_Full,Metric,dbo.MarkovProcess2,@metric
dbo.BayesianRelationships_Full,Metric,dbo.ModelEventKey,@Metric
dbo.BayesianRelationships_Full,Metric,dbo.ModelEventsByProperty,@Metric
dbo.BayesianRelationships_Full,Metric,dbo.ModelID,@Metric
dbo.BayesianRelationships_Full,Metric,dbo.SelectedEvents,@metric
dbo.BayesianRelationships_Full,Metric,dbo.SequenceSegments,@Metric
dbo.BayesianRelationships_Full,Metric,dbo.Sequences,@Metric
dbo.BayesianRelationships_Full,Metric,dbo.sp_SelectedEvents,@metric
dbo.BayesianRelationships_Full,Metric,dbo.sp_SequenceSegments,@Metric
dbo.BayesianRelationships_Full,Metric,dbo.sp_Sequences,@Metric
dbo.BayesianRelationships_Full,MetricID,dbo.InsertModel,@MetricID
dbo.BayesianRelationships_Full,ModelID,dbo.CalculateBayesianForModels,@ModelID
dbo.BayesianRelationships_Full,ModelID,dbo.CaseCharacteristics,@ModelID
dbo.BayesianRelationships_Full,ModelID,dbo.CreateUpdateMarkovProcess,@ModelID
dbo.BayesianRelationships_Full,ModelID,dbo.DeleteModel,@ModelID
dbo.BayesianRelationships_Full,ModelID,dbo.DrillThroughToModelEvents,@ModelID
dbo.BayesianRelationships_Full,ModelID,dbo.GetModelEventString,@ModelID
dbo.BayesianRelationships_Full,ModelID,dbo.GetModelPropertyString,@ModelID
dbo.BayesianRelationships_Full,ModelID,dbo.InsertModel,@ModelID
dbo.BayesianRelationships_Full,ModelID,dbo.MarkovProcess2,@ModelID
dbo.BayesianRelationships_Full,ModelID,dbo.Markov_Model_Confidence_Support,@ModelID
dbo.BayesianRelationships_Full,ModelID,dbo.ModelDrillThrough,@ModelID
dbo.BayesianRelationships_Full,ModelID,dbo.ModelEventAnomalies,@ModelID
dbo.BayesianRelationships_Full,ModelID,dbo.ModelEventsByOrdinalMean,@ModelID
dbo.BayesianRelationships_Full,ModelID,dbo.ModelMatrix,@ModelID
dbo.BayesianRelationships_Full,ModelID,dbo.SeqProb,@ModelID
dbo.BayesianRelationships_Full,ModelID,dbo.SequenceProbability,@ModelID
dbo.BayesianRelationships_Full,ModelID,dbo.sp_CaseCharacteristics,@ModelID
dbo.BayesianRelationships_Full,ModelID,dbo.sp_DrillThroughToModelEvents,@ModelID
dbo.BayesianRelationships_Full,ModelID,dbo.sp_ModelDrillThrough,@ModelID
dbo.CalculateBayesianForModels,CaseID,dbo.DeleteCase,@CaseID
dbo.CalculateBayesianForModels,CaseID,dbo.InsertCase,@CaseID
dbo.CalculateBayesianForModels,CaseID,dbo.InsertCaseProperties,@CaseID
dbo.CalculateBayesianForModels,CaseID,dbo.UpdateCaseFromEvents,@CaseID
dbo.CalculateBayesianForModels,EventSet,dbo.AdjacencyMatrix,@EventSet
dbo.CalculateBayesianForModels,EventSet,dbo.BayesianProbability,@EventSet
dbo.CalculateBayesianForModels,EventSet,dbo.BayesianProbability2,@EventSet
dbo.CalculateBayesianForModels,EventSet,dbo.ConditionalProbabilityTable,@EventSet
dbo.CalculateBayesianForModels,EventSet,dbo.CreateUpdateBayesianProbabilities,@EventSet
dbo.CalculateBayesianForModels,EventSet,dbo.CreateUpdateMarkovProcess,@EventSet
dbo.CalculateBayesianForModels,EventSet,dbo.EntryAndExitPoints,@EventSet
dbo.CalculateBayesianForModels,EventSet,dbo.EventSegments,@EventSet
