CaseID,Event,EventDate,Rank,EventOccurence,EventID,MetricActualValue,MetricExpectedValue
1,arrive,00:00.0,1,1,1,,
1,greeted,05:00.0,2,1,2,,
1,seated,05:30.0,3,1,3,,
1,intro,07:00.0,4,1,4,,
1,drinks,10:00.0,5,1,5,,
1,order,15:00.0,6,1,6,,
1,served,35:00.0,7,1,7,,
1,check,55:00.0,8,1,8,,
1,charged,00:00.0,9,1,9,,
1,bigtip,00:01.0,10,1,85,,
1,depart,05:00.0,11,1,10,,
2,arrive,00:00.0,1,1,11,,
2,greeted,16:00.0,2,1,12,,
2,seated,16:45.0,3,1,13,,
2,intro,18:00.0,4,1,14,,
2,drinks,19:00.0,5,1,15,,
2,order,21:00.0,6,1,16,,
2,served,30:00.0,7,1,17,,
2,check,45:00.0,8,1,18,,
2,charged,50:00.0,9,1,19,,
2,depart,10:00.0,10,1,20,,
3,arrive,00:00.0,1,1,21,,
3,greeted,05:00.0,2,1,22,,
3,seated,05:30.0,3,1,23,,
3,intro,07:00.0,4,1,24,,
3,drinks,10:00.0,5,1,25,,
3,order,15:00.0,6,1,26,,
3,served,35:00.0,7,1,27,,
3,check,55:00.0,8,1,28,,
3,charged,00:00.0,9,1,29,,
3,depart,05:00.0,10,1,30,,
4,arrive,00:00.0,1,1,31,,
4,greeted,05:00.0,2,1,32,,
4,seated,05:30.0,3,1,33,,
4,intro,07:00.0,4,1,34,,
4,drinks,10:00.0,5,1,35,,
4,order,15:00.0,6,1,36,,
4,served,50:00.0,7,1,37,,
4,check,14:00.0,8,1,38,,
4,charged,18:00.0,9,1,39,,
4,depart,21:00.0,10,1,40,,
5,arrive,00:00.0,1,1,41,,
5,greeted,05:00.0,2,1,42,,
5,seated,05:30.0,3,1,43,,
5,intro,07:00.0,4,1,44,,
5,drinks,10:00.0,5,1,45,,
5,order,15:00.0,6,1,46,,
5,served,35:00.0,7,1,47,,
5,check,55:00.0,8,1,48,,
5,charged,00:00.0,9,1,49,,
5,depart,05:00.0,10,1,50,,
6,arrive,00:00.0,1,1,51,,
6,seated,01:00.0,2,1,52,,
6,depart,05:00.0,3,1,53,,
7,arrive,00:00.0,1,1,54,,
7,depart,05:00.0,2,1,55,,
8,arrive,00:00.0,1,1,56,,
8,greeted,15:00.0,2,1,57,,
8,seated,20:00.0,3,1,58,,
8,intro,20:25.0,4,1,59,,
8,order,20:35.0,5,1,60,,
8,served,30:00.0,6,1,61,,
8,depart,50:00.0,7,1,62,,
9,arrive,00:00.0,1,1,63,,
9,greeted,05:00.0,2,1,64,,
9,seated,10:30.0,3,1,65,,
9,intro,10:45.0,4,1,66,,
9,drinks,14:00.0,5,1,67,,
9,order,15:00.0,6,1,68,,
9,served,35:00.0,7,1,69,,
9,check,15:00.0,8,1,70,,
9,charged,17:00.0,9,1,71,,
9,depart,50:00.0,10,1,72,,
10,arrive,00:00.0,1,1,73,,
10,greeted,03:00.0,2,1,74,,
10,seated,03:30.0,3,1,75,,
10,intro,07:00.0,4,1,76,,
10,drinks,10:00.0,5,1,77,,
10,order,15:00.0,6,1,78,,
10,served,35:00.0,7,1,79,,
10,check,55:00.0,8,1,80,,
10,charged,00:00.0,9,1,81,,
10,ccdeclined,01:00.0,10,1,82,,
10,charged,03:00.0,11,2,83,,
10,depart,10:00.0,12,1,84,,
