cube,dimension,hierarchy,caption,datatype,name,role,type,aggregation
iowa_liquor_data_science,Date,Date H_Date,Year,date,[year],dimension,ordinal,
iowa_liquor_data_science,Date,Date H_Date,Quarter,date,[quarter],dimension,ordinal,
iowa_liquor_data_science,Date,Date H_Date,Month,date,[month],dimension,ordinal,
iowa_liquor_data_science,Date,Date H_Date,Day,date,[day],dimension,ordinal,
iowa_liquor_data_science,Item  Cluster,Item  Cluster H_Item  Cluster,cluster,real,[cluster],dimension,ordinal,
iowa_liquor_data_science,Item  Cluster,Item  Cluster H_Item  Cluster,item,string,[item],dimension,nominal,
iowa_liquor_data_science,Store Clusters,Store Clusters H_Store Clusters,cluster_1,real,[store clusters_cluster],dimension,ordinal,
iowa_liquor_data_science,Store Clusters,Store Clusters H_Store Clusters,store,string,[store],dimension,nominal,
iowa_liquor_data_science,ZipCode Cluster,ZipCode Cluster H_ZipCode Cluster,cluster_2,real,[zipcode cluster_cluster],dimension,ordinal,
iowa_liquor_data_science,ZipCode Cluster,ZipCode Cluster H_ZipCode Cluster,zipcode,string,[zipcode],dimension,nominal,
iowa_liquor_data_science,MeasureGroup,,volume_sold_liters,real,[volume_sold_liters],measure,quantitative,
iowa_liquor_data_science,MeasureGroup,,bottles_sold,real,[bottles_sold],measure,quantitative,
iowa_liquor_data_science,MeasureGroup,,sale_dollars,real,[sale_dollars],measure,quantitative,
iowa_liquor_sales,Date,Date H_Date,Year,date,[year],dimension,ordinal,
iowa_liquor_sales,Date,Date H_Date,Quarter,date,[quarter],dimension,ordinal,
iowa_liquor_sales,Date,Date H_Date,Month,date,[month],dimension,ordinal,
iowa_liquor_sales,Date,Date H_Date,Day,date,[day],dimension,ordinal,
iowa_liquor_sales,Item,Item H_Item,class,string,[class],dimension,nominal,
iowa_liquor_sales,Item,Item H_Item,Category,string,[category],dimension,nominal,
iowa_liquor_sales,Item,Item H_Item,Item,string,[item],dimension,nominal,
iowa_liquor_sales,Item,,item_number,string,[item_number],dimension,nominal,
iowa_liquor_sales,Item,,category_1,string,[item_category],dimension,nominal,
iowa_liquor_sales,Item,,Imported,string,[imported],dimension,nominal,
iowa_liquor_sales,Item,,price_category,string,[price_category],dimension,nominal,
iowa_liquor_sales,Item,,item_description,string,[item_description],dimension,nominal,
iowa_liquor_sales,Property,Property H_Property,Property Category,string,[property category],dimension,nominal,
iowa_liquor_sales,Property,Property H_Property,Property Sub Category,string,[property sub category],dimension,nominal,
iowa_liquor_sales,Property,Property H_Property,Property,string,[property],dimension,nominal,
iowa_liquor_sales,Property,,propertykey,real,[propertykey],dimension,ordinal,
iowa_liquor_sales,Property Value,Property Value H_Property Value,Property Group,string,[property group],dimension,nominal,
iowa_liquor_sales,Property Value,Property Value H_Property Value,Property Value,string,[property value],dimension,nominal,
iowa_liquor_sales,Property Value,,propertygroupid,real,[propertygroupid],dimension,ordinal,
iowa_liquor_sales,Property Value,,pg,real,[pg],dimension,ordinal,
iowa_liquor_sales,Store,Store H_Store,County,string,[county],dimension,nominal,
iowa_liquor_sales,Store,Store H_Store,Zip Code,string,[zip code],dimension,nominal,
iowa_liquor_sales,Store,Store H_Store,Store,real,[store],dimension,ordinal,
iowa_liquor_sales,Store,,county_number,string,[county_number],dimension,nominal,
iowa_liquor_sales,Store,,store_number,real,[store_number],dimension,ordinal,
iowa_liquor_sales,Vendor,Vendor H_Vendor,Vendor,real,[vendor],dimension,ordinal,
iowa_liquor_sales,Vendor,,vendor_number,real,[vendor_number],dimension,ordinal,
iowa_liquor_sales,Property Raw,,probability,real,[probability],measure,quantitative,CountD
iowa_liquor_sales,Property Raw,,numericvalue,real,[numericvalue],measure,quantitative,CountD
iowa_liquor_sales,Property Raw,,negation,real,[negation],measure,quantitative,CountD
iowa_liquor_sales,Property Raw,,support,real,[support],measure,quantitative,CountD
iowa_liquor_sales,Property Raw,,confidence,real,[confidence],measure,quantitative,CountD
iowa_liquor_sales,Property Raw,,propertygroupid_1,real,[measure_propertygroupid],measure,quantitative,CountD
iowa_liquor_sales,MeasureGroup,,bottles_sold,real,[bottles_sold],measure,quantitative,
iowa_liquor_sales,MeasureGroup,,volume_sold_liters,real,[volume_sold_liters],measure,quantitative,
iowa_liquor_sales,MeasureGroup,,sale_dollars,real,[sale_dollars],measure,quantitative,
iowa_liquor_sales,MeasureGroup,,sale_dollars_state_retail,real,[sale_dollars_state_retail],measure,quantitative,
iowa_liquor_sales,MeasureGroup,,volume_sold_gallons,real,[volume_sold_gallons],measure,quantitative,
iowa_liquor_sales,MeasureGroup,,state_bottle_retail,real,[state_bottle_retail],measure,quantitative,CountD
iowa_liquor_sales,MeasureGroup,,Cost,real,[cost],measure,quantitative,
iowa_liquor_sales,MeasureGroup,,state_bottle_cost,real,[state_bottle_cost],measure,quantitative,CountD
iowa_liquor_sales,MeasureGroup,,invoice_item_number,real,[invoice_item_number],measure,quantitative,Count
iowa_liquor_store_tax_payments,Date,Date H_Date,Year,date,[year],dimension,ordinal,
iowa_liquor_store_tax_payments,Date,Date H_Date,Quarter,date,[quarter],dimension,ordinal,
iowa_liquor_store_tax_payments,Date,Date H_Date,Month,date,[month],dimension,ordinal,
iowa_liquor_store_tax_payments,Date,Date H_Date,Day,date,[day],dimension,ordinal,
iowa_liquor_store_tax_payments,Store,Store H_Store,Store,string,[store],dimension,nominal,
iowa_liquor_store_tax_payments,Store,,tax_store_number,real,[tax_store_number],dimension,ordinal,
iowa_liquor_store_tax_payments,Store,,Zip Code,string,[Zip Code],dimension,ordinal,
iowa_liquor_store_tax_payments,Store,,tax_amount,real,[tax_amount],measure,quantitative,
Property_bag,Customer,Customer H_Customer,Customer,string,[customer],dimension,nominal,
Property_bag,Customer,,Commute Distance,string,[commute distance],dimension,nominal,
Property_bag,Customer,,customerkey,real,[customerkey],dimension,ordinal,
Property_bag,Customer,,Yearly Income,real,[yearly income],dimension,ordinal,
Property_bag,Customer,,Number Cars Owned,real,[number cars owned],dimension,ordinal,
Property_bag,Customer,,Gender,string,[gender],dimension,nominal,
Property_bag,Customer,,Num Children at Home,real,[num children at home],dimension,ordinal,
Property_bag,Customer,,Marital Status,string,[marital status],dimension,nominal,
Property_bag,Date,Date H_Date,Year,date,[year],dimension,ordinal,
Property_bag,Date,Date H_Date,Quarter,date,[quarter],dimension,ordinal,
Property_bag,Date,Date H_Date,Month,date,[month],dimension,ordinal,
Property_bag,Date,Date H_Date,Day,date,[day],dimension,ordinal,
Property_bag,Product,Product H_Product,ProductName,string,[productname],dimension,nominal,
Property_bag,Product,,Color,string,[color],dimension,nominal,
Property_bag,Product,,Class,string,[class],dimension,nominal,
Property_bag,Product,,ProductKey,real,[productkey],dimension,ordinal,
Property_bag,Product,,Style,string,[style],dimension,nominal,
Property_bag,Product,,SizeRange,string,[sizerange],dimension,nominal,
Property_bag,,Property H_Property,Property Category,string,[property category],dimension,nominal,
Property_bag,,Property H_Property,Property Sub Category,string,[property sub category],dimension,nominal,
Property_bag,,Property H_Property,Property,string,[property],dimension,nominal,
Property_bag,,,propertykey,real,[propertykey],dimension,ordinal,
Property_bag,Property Value,Property Value H_Property Value,Property Group,string,[property group],dimension,nominal,
Property_bag,Property Value,Property Value H_Property Value,Property Value,string,[property value],dimension,nominal,
Property_bag,Property Value,,pg,string,[pg],dimension,nominal,
Property_bag,Property Value,,propertygroupid,real,[propertygroupid],dimension,ordinal,
Property_bag,Property,,Cohort Count,real,[cohort count],measure,quantitative,
Property_bag,InternetSales,,Quantity,real,[quantity],measure,quantitative,
Property_bag,InternetSales,,Sales Amount,real,[sales amount],measure,quantitative,
Property_bag,InternetSales,,Tax Amount,real,[tax amount],measure,quantitative,
Property_bag,InternetSales,,Discount Amount,real,[discount amount],measure,quantitative,
Property_bag,InternetSales,,Freight,real,[freight],measure,quantitative,
Property_bag,InternetSales,,Customers,real,[customers],measure,quantitative,CountD
Property_bag,InternetSales,,Products,real,[products],measure,quantitative,CountD
Property_bag,Property Raw,,probability,real,[probability],measure,quantitative,CountD
Property_bag,Property Raw,,support,real,[support],measure,quantitative,CountD
