sale_dollars,datekey,Sales Event,SourceID,Measure,dice,product_class,Store,QueryDefID,startDate,endDate,CaseTypeName,SourceServer,SourceCatalog,SourceSchema
3609.3,2012-01-05,Bad Sales Day,3,sale_dollars,datekey,Rum,Hillstreet News and Tobacco,89829a13c8d90f7bb65628c22c9a8d3a7834933f832abaa8aa6078bc30f69ac34337d697e85766f7aeca5f7754a7ff05e1c83536884ce49e036b41171a790e26,2005-01-01,2022-12-31,DailySalesPerf,KyvosNew,Eugene Training,iowa_liquor_sales
4802.46,2012-01-12,Normal Sales Day,3,sale_dollars,datekey,Rum,Hillstreet News and Tobacco,89829a13c8d90f7bb65628c22c9a8d3a7834933f832abaa8aa6078bc30f69ac34337d697e85766f7aeca5f7754a7ff05e1c83536884ce49e036b41171a790e26,2005-01-01,2022-12-31,DailySalesPerf,KyvosNew,Eugene Training,iowa_liquor_sales
4799.039999999999,2012-01-19,Normal Sales Day,3,sale_dollars,datekey,Rum,Hillstreet News and Tobacco,89829a13c8d90f7bb65628c22c9a8d3a7834933f832abaa8aa6078bc30f69ac34337d697e85766f7aeca5f7754a7ff05e1c83536884ce49e036b41171a790e26,2005-01-01,2022-12-31,DailySalesPerf,KyvosNew,Eugene Training,iowa_liquor_sales
5178.150000000001,2012-01-26,Normal Sales Day,3,sale_dollars,datekey,Rum,Hillstreet News and Tobacco,89829a13c8d90f7bb65628c22c9a8d3a7834933f832abaa8aa6078bc30f69ac34337d697e85766f7aeca5f7754a7ff05e1c83536884ce49e036b41171a790e26,2005-01-01,2022-12-31,DailySalesPerf,KyvosNew,Eugene Training,iowa_liquor_sales
3063.84,2012-02-02,Bad Sales Day,3,sale_dollars,datekey,Rum,Hillstreet News and Tobacco,89829a13c8d90f7bb65628c22c9a8d3a7834933f832abaa8aa6078bc30f69ac34337d697e85766f7aeca5f7754a7ff05e1c83536884ce49e036b41171a790e26,2005-01-01,2022-12-31,DailySalesPerf,KyvosNew,Eugene Training,iowa_liquor_sales
5383.2,2012-02-09,Normal Sales Day,3,sale_dollars,datekey,Rum,Hillstreet News and Tobacco,89829a13c8d90f7bb65628c22c9a8d3a7834933f832abaa8aa6078bc30f69ac34337d697e85766f7aeca5f7754a7ff05e1c83536884ce49e036b41171a790e26,2005-01-01,2022-12-31,DailySalesPerf,KyvosNew,Eugene Training,iowa_liquor_sales
6355.65,2012-02-16,Normal Sales Day,3,sale_dollars,datekey,Rum,Hillstreet News and Tobacco,89829a13c8d90f7bb65628c22c9a8d3a7834933f832abaa8aa6078bc30f69ac34337d697e85766f7aeca5f7754a7ff05e1c83536884ce49e036b41171a790e26,2005-01-01,2022-12-31,DailySalesPerf,KyvosNew,Eugene Training,iowa_liquor_sales
5235.84,2012-02-23,Normal Sales Day,3,sale_dollars,datekey,Rum,Hillstreet News and Tobacco,89829a13c8d90f7bb65628c22c9a8d3a7834933f832abaa8aa6078bc30f69ac34337d697e85766f7aeca5f7754a7ff05e1c83536884ce49e036b41171a790e26,2005-01-01,2022-12-31,DailySalesPerf,KyvosNew,Eugene Training,iowa_liquor_sales
4863.719999999999,2012-03-01,Normal Sales Day,3,sale_dollars,datekey,Rum,Hillstreet News and Tobacco,89829a13c8d90f7bb65628c22c9a8d3a7834933f832abaa8aa6078bc30f69ac34337d697e85766f7aeca5f7754a7ff05e1c83536884ce49e036b41171a790e26,2005-01-01,2022-12-31,DailySalesPerf,KyvosNew,Eugene Training,iowa_liquor_sales
3872.56,2012-03-08,Bad Sales Day,3,sale_dollars,datekey,Rum,Hillstreet News and Tobacco,89829a13c8d90f7bb65628c22c9a8d3a7834933f832abaa8aa6078bc30f69ac34337d697e85766f7aeca5f7754a7ff05e1c83536884ce49e036b41171a790e26,2005-01-01,2022-12-31,DailySalesPerf,KyvosNew,Eugene Training,iowa_liquor_sales
4861.74,2012-03-15,Normal Sales Day,3,sale_dollars,datekey,Rum,Hillstreet News and Tobacco,89829a13c8d90f7bb65628c22c9a8d3a7834933f832abaa8aa6078bc30f69ac34337d697e85766f7aeca5f7754a7ff05e1c83536884ce49e036b41171a790e26,2005-01-01,2022-12-31,DailySalesPerf,KyvosNew,Eugene Training,iowa_liquor_sales
4974.44,2012-03-22,Normal Sales Day,3,sale_dollars,datekey,Rum,Hillstreet News and Tobacco,89829a13c8d90f7bb65628c22c9a8d3a7834933f832abaa8aa6078bc30f69ac34337d697e85766f7aeca5f7754a7ff05e1c83536884ce49e036b41171a790e26,2005-01-01,2022-12-31,DailySalesPerf,KyvosNew,Eugene Training,iowa_liquor_sales
3357.96,2012-03-29,Bad Sales Day,3,sale_dollars,datekey,Rum,Hillstreet News and Tobacco,89829a13c8d90f7bb65628c22c9a8d3a7834933f832abaa8aa6078bc30f69ac34337d697e85766f7aeca5f7754a7ff05e1c83536884ce49e036b41171a790e26,2005-01-01,2022-12-31,DailySalesPerf,KyvosNew,Eugene Training,iowa_liquor_sales
5700.900000000001,2012-04-05,Normal Sales Day,3,sale_dollars,datekey,Rum,Hillstreet News and Tobacco,89829a13c8d90f7bb65628c22c9a8d3a7834933f832abaa8aa6078bc30f69ac34337d697e85766f7aeca5f7754a7ff05e1c83536884ce49e036b41171a790e26,2005-01-01,2022-12-31,DailySalesPerf,KyvosNew,Eugene Training,iowa_liquor_sales
5038.08,2012-04-12,Normal Sales Day,3,sale_dollars,datekey,Rum,Hillstreet News and Tobacco,89829a13c8d90f7bb65628c22c9a8d3a7834933f832abaa8aa6078bc30f69ac34337d697e85766f7aeca5f7754a7ff05e1c83536884ce49e036b41171a790e26,2005-01-01,2022-12-31,DailySalesPerf,KyvosNew,Eugene Training,iowa_liquor_sales
5619.719999999999,2012-04-19,Normal Sales Day,3,sale_dollars,datekey,Rum,Hillstreet News and Tobacco,89829a13c8d90f7bb65628c22c9a8d3a7834933f832abaa8aa6078bc30f69ac34337d697e85766f7aeca5f7754a7ff05e1c83536884ce49e036b41171a790e26,2005-01-01,2022-12-31,DailySalesPerf,KyvosNew,Eugene Training,iowa_liquor_sales
5475.24,2012-04-26,Normal Sales Day,3,sale_dollars,datekey,Rum,Hillstreet News and Tobacco,89829a13c8d90f7bb65628c22c9a8d3a7834933f832abaa8aa6078bc30f69ac34337d697e85766f7aeca5f7754a7ff05e1c83536884ce49e036b41171a790e26,2005-01-01,2022-12-31,DailySalesPerf,KyvosNew,Eugene Training,iowa_liquor_sales
